"participant","candidate","names","Data","Language","Social","Experience","crit","rating","model_pred"
"mycode",3,"Simone",0,1,0,0,3,3,NA
"mycode",4,"Ulrike",1,1,0,0,7,8,NA
"mycode",5,"Ute",0,0,1,0,2,2,NA
"mycode",6,"Rita",1,0,1,0,6,8,NA
"mycode",7,"Bettina",0,1,1,0,5,3,NA
"mycode",8,"Guilia",1,1,1,0,9,9,NA
"mycode",9,"Fernande",0,0,0,1,1,1,NA
"mycode",10,"Maria",1,0,0,1,5,5,NA
"mycode",11,"Bela",0,1,0,1,4,4,NA
"mycode",12,"Salome",1,1,0,1,8,8,NA
"mycode",13,"Manuela",0,0,1,1,3,4,NA
"mycode",14,"Dominque",1,0,1,1,7,8,NA
"mycode",15,"Jule",0,1,1,1,6,6,NA
"mycode",16,"Tina",1,1,1,1,10,10,NA
"AALP",1,"Joana",0,0,0,0,0,7,NA
"AALP",2,"Filipa",1,0,0,0,4,7,NA
"AALP",3,"Simone",0,1,0,0,3,8,NA
"AALP",4,"Ulrike",1,1,0,0,7,5,NA
"AALP",5,"Ute",0,0,1,0,2,10,NA
"AALP",6,"Rita",1,0,1,0,6,3,NA
"AALP",7,"Bettina",0,1,1,0,5,8,NA
"AALP",8,"Guilia",1,1,1,0,9,1,NA
"AALP",9,"Fernande",0,0,0,1,1,3,NA
"AALP",10,"Maria",1,0,0,1,5,0,NA
"AALP",11,"Bela",0,1,0,1,4,6,NA
"AALP",12,"Salome",1,1,0,1,8,10,NA
"AALP",13,"Manuela",0,0,1,1,3,6,NA
"AALP",14,"Dominque",1,0,1,1,7,7,NA
"AALP",15,"Jule",0,1,1,1,6,6,NA
"AALP",16,"Tina",1,1,1,1,10,2,NA
"kl83",1,"Joana",0,0,0,0,0,1,NA
"kl83",2,"Filipa",1,0,0,0,4,3,NA
"kl83",3,"Simone",0,1,0,0,3,2,NA
"kl83",4,"Ulrike",1,1,0,0,7,6,NA
"kl83",5,"Ute",0,0,1,0,2,3,NA
"kl83",6,"Rita",1,0,1,0,6,6,NA
"kl83",7,"Bettina",0,1,1,0,5,5,NA
"kl83",8,"Guilia",1,1,1,0,9,9,NA
"kl83",9,"Fernande",0,0,0,1,1,4,NA
"kl83",10,"Maria",1,0,0,1,5,5,NA
"kl83",11,"Bela",0,1,0,1,4,6,NA
"kl83",12,"Salome",1,1,0,1,8,8,NA
"kl83",13,"Manuela",0,0,1,1,3,6,NA
"kl83",14,"Dominque",1,0,1,1,7,8,NA
"kl83",15,"Jule",0,1,1,1,6,8,NA
"kl83",16,"Tina",1,1,1,1,10,10,NA
"R15AUR",1,"Joana",0,0,0,0,0,1,NA
"R15AUR",2,"Filipa",1,0,0,0,4,4,NA
"R15AUR",3,"Simone",0,1,0,0,3,3,NA
"R15AUR",4,"Ulrike",1,1,0,0,7,8,NA
"R15AUR",5,"Ute",0,0,1,0,2,1,NA
"R15AUR",6,"Rita",1,0,1,0,6,6,NA
"R15AUR",7,"Bettina",0,1,1,0,5,3,NA
"R15AUR",8,"Guilia",1,1,1,0,9,9,NA
"R15AUR",9,"Fernande",0,0,0,1,1,2,NA
"R15AUR",10,"Maria",1,0,0,1,5,8,NA
"R15AUR",11,"Bela",0,1,0,1,4,6,NA
"R15AUR",12,"Salome",1,1,0,1,8,8,NA
"R15AUR",13,"Manuela",0,0,1,1,3,5,NA
"R15AUR",14,"Dominque",1,0,1,1,7,8,NA
"R15AUR",15,"Jule",0,1,1,1,6,5,NA
"R15AUR",16,"Tina",1,1,1,1,10,10,NA
"23081999",1,"Joana",0,0,0,0,0,0,NA
"23081999",2,"Filipa",1,0,0,0,4,3,NA
"23081999",3,"Simone",0,1,0,0,3,3,NA
"23081999",4,"Ulrike",1,1,0,0,7,5,NA
"23081999",5,"Ute",0,0,1,0,2,3,NA
"23081999",6,"Rita",1,0,1,0,6,2,NA
"23081999",7,"Bettina",0,1,1,0,5,4,NA
"23081999",8,"Guilia",1,1,1,0,9,6,NA
"23081999",9,"Fernande",0,0,0,1,1,3,NA
"23081999",10,"Maria",1,0,0,1,5,5,NA
"23081999",11,"Bela",0,1,0,1,4,7,NA
"23081999",12,"Salome",1,1,0,1,8,9,NA
"23081999",13,"Manuela",0,0,1,1,3,6,NA
"23081999",14,"Dominque",1,0,1,1,7,9,NA
"23081999",15,"Jule",0,1,1,1,6,7,NA
"23081999",16,"Tina",1,1,1,1,10,10,NA
